#Addr, Size, Enable addr
0x000400,19,
0x000500,22,
0x000600,4,
0x000800,19,
0x000900,22,
0x000a00,4,
0x000c00,19,
0x000d00,22,
0x000e00,4,
0x001000,19,
0x001100,22,
0x001200,4,
0x001400,19,
0x001500,22,
0x001600,4,
0x001800,19,
0x001900,22,
0x001a00,4,
0x001c00,19,
0x001d00,22,
0x001e00,4,
0x002000,19,
0x002100,22,
0x002200,4,
0x002400,19,
0x002500,22,
0x002600,4,
0x002800,19,
0x002900,22,
0x002a00,4,
0x002c00,19,
0x002d00,22,
0x002e00,4,
0x003000,19,
0x003100,22,
0x003200,4,
0x003400,19,
0x003500,22,
0x003600,4,
0x003800,19,
0x003900,22,
0x003a00,4,
0x003c00,19,
0x003d00,22,
0x003e00,4,
0x004000,19,
0x004100,22,
0x004200,4,
0x004400,19,
0x004500,22,
0x004600,4,
0x004800,19,
0x004900,22,
0x004a00,4,
0x004c00,19,
0x004d00,22,
0x004e00,4,
0x005000,19,
0x005100,22,
0x005200,4,
0x005400,19,
0x005500,22,
0x005600,4,
0x005800,19,
0x005900,22,
0x005a00,4,
0x005c00,19,
0x005d00,22,
0x005e00,4,
0x006000,19,
0x006100,22,
0x006200,4,
0x006400,19,
0x006500,22,
0x006600,4,
0x006800,19,
0x006900,22,
0x006a00,4,
0x006c00,19,
0x006d00,22,
0x006e00,4,
0x007000,19,
0x007100,22,
0x007200,4,
0x007400,19,
0x007500,22,
0x007600,4,
0x007800,19,
0x007900,22,
0x007a00,4,
0x007c00,19,
0x007d00,22,
0x007e00,4,
0x008000,19,
0x008100,22,
0x008200,4,
0x008400,27,
0x008500,34,
0x008600,4,
0x008800,19,
0x008900,14,
0x008a00,4,
0x008c00,27,
0x008d00,34,
0x008e00,4,
0x009000,19,
0x009100,16,
0x009200,4,
0x010800,3,
0x010814,10,
0x010840,11,
0x010870,35,
0x010900,8,
0x010924,5,
0x010980,2,
0x01098c,2,
0x0109a0,2,
0x0109c0,1,
0x010a00,12,
